<pre>
Vars 	 	  CCtr  NNtr  CCt   NNt   CCv   NNv  +-CCtr  +-NNtr  +-CCt   +-NNt   +-CCv   +-NNv
DoY      	- +0.11 +0.37 +0.29 -0.11 +0.25 +0.05 0.05 0.11 0.17 0.34 0.17 0.31 
B_z      	- +0.05 +0.33 +0.18 +0.19 +0.18 +0.24 0.04 0.14 0.13 0.23 0.14 0.23 
V_{sw}      	- +0.15 +0.35 +0.21 +0.08 +0.27 +0.20 0.06 0.14 0.14 0.28 0.17 0.25 
D_{st}      	- +0.07 +0.23 +0.21 -0.14 +0.25 +0.08 0.05 0.11 0.14 0.30 0.17 0.27 
MLT      	- +0.12 +0.42 +0.33 +0.11 +0.35 +0.29 0.11 0.22 0.23 0.34 0.22 0.41 
F_{10.7}      	- +0.33 +0.41 +0.32 +0.22 +0.36 +0.26 0.05 0.16 0.15 0.23 0.16 0.27 
\rho_{sw}      	- +0.04 +0.23 +0.20 -0.08 +0.20 +0.02 0.03 0.14 0.16 0.26 0.15 0.29 
DoY+B_z   	- +0.11 +0.41 +0.36 +0.13 +0.34 +0.24 0.06 0.22 0.18 0.32 0.17 0.27 
DoY+V_{sw}   	- +0.20 +0.46 +0.39 +0.16 +0.38 +0.26 0.05 0.13 0.15 0.26 0.16 0.26 
DoY+D_{st}   	- +0.14 +0.36 +0.41 -0.03 +0.37 +0.04 0.06 0.16 0.17 0.23 0.17 0.31 
DoY+MLT   	- +0.32 +0.48 +0.58 +0.06 +0.56 +0.05 0.08 0.17 0.16 0.37 0.18 0.43 
DoY+F_{10.7}   	- +0.34 +0.55 +0.42 +0.21 +0.43 +0.44 0.05 0.20 0.18 0.26 0.15 0.20 
DoY+\rho_{sw}   	- +0.09 +0.36 +0.38 -0.11 +0.33 +0.07 0.07 0.18 0.18 0.27 0.14 0.25 
B_z+V_{sw}   	- +0.16 +0.33 +0.33 +0.05 +0.32 +0.11 0.07 0.16 0.15 0.27 0.13 0.25 
B_z+D_{st}   	- +0.12 +0.30 +0.31 -0.15 +0.31 -0.00 0.06 0.13 0.17 0.25 0.15 0.21 
B_z+MLT   	- +0.21 +0.53 +0.51 +0.03 +0.54 +0.15 0.12 0.19 0.17 0.37 0.22 0.38 
B_z+F_{10.7}   	- +0.32 +0.47 +0.38 +0.19 +0.45 +0.26 0.04 0.11 0.17 0.26 0.14 0.27 
B_z+\rho_{sw}   	- +0.08 +0.31 +0.31 -0.04 +0.32 -0.01 0.04 0.13 0.14 0.25 0.15 0.30 
V_{sw}+D_{st}   	- +0.18 +0.37 +0.35 -0.03 +0.36 +0.19 0.07 0.16 0.17 0.25 0.13 0.22 
V_{sw}+MLT   	- +0.36 +0.58 +0.55 +0.16 +0.58 +0.33 0.09 0.16 0.20 0.43 0.23 0.42 
V_{sw}+F_{10.7}   	- +0.33 +0.42 +0.40 +0.09 +0.50 +0.25 0.06 0.19 0.18 0.27 0.14 0.29 
V_{sw}+\rho_{sw}   	- +0.14 +0.38 +0.34 +0.10 +0.36 +0.25 0.05 0.18 0.14 0.26 0.15 0.26 
D_{st}+MLT   	- +0.20 +0.43 +0.53 -0.03 +0.50 +0.30 0.11 0.26 0.21 0.43 0.19 0.31 
D_{st}+F_{10.7}   	- +0.35 +0.47 +0.41 +0.17 +0.43 +0.17 0.06 0.12 0.17 0.26 0.17 0.25 
D_{st}+\rho_{sw}   	- +0.10 +0.37 +0.34 -0.07 +0.36 +0.11 0.05 0.14 0.18 0.25 0.17 0.30 
MLT+F_{10.7}   	- +0.32 +0.51 +0.53 +0.02 +0.53 +0.33 0.10 0.23 0.22 0.32 0.18 0.34 
MLT+\rho_{sw}   	- +0.22 +0.52 +0.54 +0.05 +0.60 +0.24 0.11 0.23 0.24 0.40 0.21 0.42 
F_{10.7}+\rho_{sw}   	- +0.26 +0.42 +0.40 +0.03 +0.39 +0.25 0.07 0.21 0.20 0.30 0.18 0.25 
DoY+B_z+V_{sw}   	- +0.20 +0.44 +0.43 +0.12 +0.45 +0.23 0.06 0.19 0.14 0.24 0.16 0.19 
DoY+B_z+D_{st}   	- +0.15 +0.38 +0.40 +0.04 +0.44 +0.20 0.05 0.23 0.14 0.29 0.18 0.27 
DoY+B_z+MLT   	- +0.33 +0.47 +0.62 +0.06 +0.63 +0.08 0.11 0.27 0.19 0.40 0.19 0.39 
DoY+B_z+F_{10.7}   	- +0.34 +0.58 +0.49 +0.31 +0.47 +0.39 0.05 0.15 0.15 0.26 0.15 0.18 
DoY+B_z+\rho_{sw}   	- +0.12 +0.38 +0.49 -0.03 +0.42 +0.13 0.05 0.21 0.18 0.27 0.16 0.27 
DoY+V_{sw}+D_{st}   	- +0.22 +0.47 +0.49 +0.03 +0.43 +0.09 0.05 0.13 0.14 0.23 0.14 0.27 
DoY+V_{sw}+MLT   	- +0.44 +0.64 +0.68 +0.29 +0.65 +0.34 0.07 0.21 0.17 0.37 0.21 0.38 
DoY+V_{sw}+F_{10.7}   	- +0.35 +0.61 +0.53 +0.20 +0.50 +0.42 0.04 0.15 0.13 0.25 0.15 0.27 
DoY+V_{sw}+\rho_{sw}   	- +0.17 +0.43 +0.48 +0.01 +0.48 +0.11 0.07 0.16 0.15 0.25 0.13 0.29 
DoY+D_{st}+MLT   	- +0.31 +0.40 +0.67 +0.01 +0.63 +0.12 0.08 0.24 0.14 0.35 0.21 0.39 
DoY+D_{st}+F_{10.7}   	- +0.35 +0.59 +0.51 +0.23 +0.53 +0.36 0.05 0.17 0.15 0.29 0.14 0.25 
DoY+D_{st}+\rho_{sw}   	- +0.13 +0.38 +0.49 -0.09 +0.49 +0.03 0.06 0.21 0.17 0.28 0.16 0.34 
DoY+MLT+F_{10.7}   	- +0.44 +0.57 +0.72 +0.15 +0.67 +0.40 0.08 0.31 0.19 0.42 0.17 0.32 
DoY+MLT+\rho_{sw}   	- +0.34 +0.54 +0.81 +0.03 +0.74 +0.23 0.10 0.24 0.15 0.42 0.22 0.46 
DoY+F_{10.7}+\rho_{sw}   	- +0.29 +0.58 +0.53 +0.21 +0.51 +0.32 0.07 0.14 0.13 0.24 0.17 0.22 
B_z+F_{10.7}+\rho_{sw}   	- +0.26 +0.43 +0.47 +0.05 +0.48 +0.26 0.05 0.21 0.17 0.29 0.17 0.24 
B_z+MLT+\rho_{sw}   	- +0.21 +0.55 +0.75 +0.04 +0.71 +0.22 0.09 0.26 0.21 0.38 0.19 0.42 
B_z+MLT+F_{10.7}   	- +0.33 +0.49 +0.64 +0.10 +0.64 +0.29 0.09 0.27 0.19 0.37 0.20 0.38 
B_z+D_{st}+\rho_{sw}   	- +0.10 +0.35 +0.45 -0.20 +0.39 +0.05 0.06 0.17 0.16 0.26 0.16 0.21 
B_z+D_{st}+F_{10.7}   	- +0.36 +0.46 +0.48 +0.09 +0.47 +0.16 0.04 0.17 0.18 0.28 0.13 0.25 
B_z+D_{st}+MLT   	- +0.21 +0.51 +0.66 -0.05 +0.60 +0.10 0.10 0.22 0.19 0.36 0.18 0.36 
B_z+V_{sw}+\rho_{sw}   	- +0.16 +0.47 +0.44 -0.04 +0.42 +0.19 0.06 0.13 0.17 0.28 0.15 0.26 
B_z+V_{sw}+F_{10.7}   	- +0.33 +0.48 +0.52 +0.14 +0.46 +0.22 0.05 0.21 0.13 0.19 0.17 0.22 
B_z+V_{sw}+MLT   	- +0.43 +0.67 +0.71 +0.17 +0.73 +0.31 0.10 0.19 0.17 0.43 0.18 0.40 
B_z+V_{sw}+D_{st}   	- +0.19 +0.35 +0.46 +0.01 +0.43 +0.02 0.06 0.17 0.16 0.26 0.17 0.26 
V_{sw}+F_{10.7}+\rho_{sw}   	- +0.30 +0.52 +0.47 +0.00 +0.48 +0.16 0.06 0.20 0.17 0.25 0.16 0.30 
V_{sw}+MLT+\rho_{sw}   	- +0.28 +0.60 +0.76 +0.07 +0.78 +0.12 0.10 0.28 0.17 0.38 0.16 0.43 
V_{sw}+MLT+F_{10.7}   	- +0.39 +0.60 +0.68 +0.19 +0.69 +0.23 0.10 0.22 0.18 0.38 0.19 0.41 
V_{sw}+D_{st}+\rho_{sw}   	- +0.19 +0.42 +0.42 +0.06 +0.51 +0.07 0.06 0.21 0.14 0.27 0.17 0.35 
V_{sw}+D_{st}+F_{10.7}   	- +0.34 +0.49 +0.49 +0.08 +0.54 +0.22 0.05 0.19 0.15 0.29 0.13 0.25 
V_{sw}+D_{st}+MLT   	- +0.37 +0.61 +0.69 +0.17 +0.68 +0.24 0.09 0.19 0.17 0.33 0.22 0.39 
D_{st}+MLT+F_{10.7}   	- +0.33 +0.57 +0.68 +0.09 +0.69 +0.26 0.09 0.25 0.17 0.44 0.16 0.33 
D_{st}+MLT+\rho_{sw}   	- +0.21 +0.50 +0.70 +0.03 +0.72 +0.25 0.09 0.24 0.20 0.50 0.21 0.43 
D_{st}+F_{10.7}+\rho_{sw}   	- +0.30 +0.51 +0.57 +0.03 +0.49 +0.22 0.07 0.22 0.16 0.28 0.18 0.22 
MLT+F_{10.7}+\rho_{sw}   	- +0.26 +0.69 +0.72 +0.09 +0.80 +0.32 0.11 0.22 0.21 0.46 0.18 0.43 
All	- +0.48 +0.52 +1.00 +0.01 +1.00 +0.21 0.07 0.33 0.00 0.48 0.00 0.41 
