<pre>
Vars 	 	  CCtr  NNtr  CCt   NNt   CCv   NNv  +-CCtr  +-NNtr  +-CCt   +-NNt   +-CCv   +-NNv
DoY      	- +0.07 +0.24 +0.17 -0.03 +0.15 +0.12 0.04 0.12 0.11 0.20 0.11 0.17 
B_z      	- +0.02 +0.14 +0.11 -0.06 +0.12 -0.00 0.02 0.08 0.07 0.17 0.08 0.20 
V_{sw}      	- +0.04 +0.21 +0.16 -0.03 +0.12 +0.06 0.02 0.09 0.10 0.17 0.10 0.18 
D_{st}      	- +0.12 +0.29 +0.14 +0.08 +0.23 +0.18 0.06 0.11 0.13 0.21 0.15 0.24 
MLT      	- +0.06 +0.35 +0.19 +0.07 +0.16 +0.17 0.05 0.11 0.15 0.24 0.12 0.21 
F_{10.7}      	- +0.40 +0.44 +0.43 +0.26 +0.40 +0.36 0.03 0.11 0.14 0.24 0.13 0.15 
\rho_{sw}      	- +0.20 +0.35 +0.32 -0.12 +0.26 +0.12 0.08 0.20 0.19 0.31 0.18 0.29 
DoY+B_z   	- +0.09 +0.22 +0.20 -0.06 +0.21 +0.02 0.04 0.11 0.08 0.18 0.11 0.15 
DoY+V_{sw}   	- +0.09 +0.25 +0.23 -0.07 +0.25 +0.05 0.05 0.12 0.11 0.19 0.13 0.17 
DoY+D_{st}   	- +0.16 +0.34 +0.28 +0.05 +0.25 +0.10 0.06 0.13 0.14 0.19 0.13 0.26 
DoY+MLT   	- +0.17 +0.40 +0.31 +0.04 +0.30 +0.11 0.05 0.16 0.14 0.19 0.12 0.26 
DoY+F_{10.7}   	- +0.41 +0.45 +0.45 +0.28 +0.44 +0.32 0.03 0.08 0.12 0.14 0.12 0.16 
DoY+\rho_{sw}   	- +0.21 +0.48 +0.42 -0.07 +0.40 +0.05 0.09 0.19 0.20 0.34 0.20 0.34 
B_z+V_{sw}   	- +0.06 +0.22 +0.20 -0.01 +0.19 +0.02 0.03 0.11 0.10 0.16 0.09 0.17 
B_z+D_{st}   	- +0.12 +0.32 +0.25 -0.10 +0.29 +0.07 0.06 0.10 0.15 0.17 0.12 0.25 
B_z+MLT   	- +0.10 +0.35 +0.35 +0.01 +0.27 +0.06 0.05 0.13 0.16 0.21 0.14 0.17 
B_z+F_{10.7}   	- +0.42 +0.44 +0.45 +0.25 +0.45 +0.34 0.03 0.13 0.12 0.17 0.12 0.19 
B_z+\rho_{sw}   	- +0.22 +0.42 +0.39 +0.03 +0.37 +0.15 0.07 0.21 0.19 0.30 0.18 0.32 
V_{sw}+D_{st}   	- +0.11 +0.34 +0.26 -0.03 +0.27 +0.06 0.04 0.17 0.14 0.21 0.14 0.22 
V_{sw}+MLT   	- +0.09 +0.37 +0.33 +0.03 +0.26 +0.10 0.05 0.14 0.14 0.23 0.11 0.24 
V_{sw}+F_{10.7}   	- +0.42 +0.46 +0.46 +0.32 +0.46 +0.38 0.04 0.08 0.11 0.12 0.13 0.15 
V_{sw}+\rho_{sw}   	- +0.23 +0.49 +0.39 +0.02 +0.41 +0.18 0.09 0.17 0.19 0.35 0.20 0.39 
D_{st}+MLT   	- +0.10 +0.36 +0.27 +0.04 +0.33 +0.19 0.05 0.13 0.14 0.27 0.14 0.22 
D_{st}+F_{10.7}   	- +0.43 +0.48 +0.50 +0.28 +0.47 +0.35 0.04 0.08 0.12 0.14 0.12 0.17 
D_{st}+\rho_{sw}   	- +0.23 +0.41 +0.41 -0.03 +0.41 +0.14 0.06 0.19 0.17 0.33 0.21 0.33 
MLT+F_{10.7}   	- +0.36 +0.46 +0.46 +0.25 +0.49 +0.28 0.06 0.11 0.16 0.23 0.16 0.24 
MLT+\rho_{sw}   	- +0.15 +0.52 +0.49 +0.08 +0.43 +0.20 0.08 0.18 0.17 0.33 0.20 0.39 
F_{10.7}+\rho_{sw}   	- +0.44 +0.52 +0.54 +0.29 +0.49 +0.25 0.06 0.17 0.20 0.28 0.18 0.26 
DoY+B_z+V_{sw}   	- +0.12 +0.33 +0.32 -0.06 +0.30 +0.01 0.05 0.13 0.13 0.17 0.12 0.17 
DoY+B_z+D_{st}   	- +0.15 +0.35 +0.34 +0.03 +0.34 +0.16 0.06 0.18 0.13 0.25 0.11 0.18 
DoY+B_z+MLT   	- +0.16 +0.41 +0.38 +0.04 +0.40 +0.17 0.05 0.17 0.13 0.22 0.15 0.22 
DoY+B_z+F_{10.7}   	- +0.43 +0.50 +0.45 +0.23 +0.49 +0.34 0.04 0.07 0.10 0.19 0.12 0.17 
DoY+B_z+\rho_{sw}   	- +0.22 +0.46 +0.43 +0.02 +0.50 +0.12 0.08 0.19 0.18 0.28 0.18 0.31 
DoY+V_{sw}+D_{st}   	- +0.16 +0.41 +0.30 +0.03 +0.37 +0.11 0.06 0.11 0.12 0.16 0.14 0.23 
DoY+V_{sw}+MLT   	- +0.17 +0.42 +0.43 +0.09 +0.40 +0.11 0.05 0.15 0.15 0.24 0.13 0.22 
DoY+V_{sw}+F_{10.7}   	- +0.42 +0.47 +0.46 +0.25 +0.50 +0.35 0.03 0.09 0.12 0.15 0.10 0.14 
DoY+V_{sw}+\rho_{sw}   	- +0.26 +0.50 +0.45 +0.04 +0.46 +0.18 0.08 0.23 0.18 0.34 0.18 0.34 
DoY+D_{st}+MLT   	- +0.17 +0.38 +0.41 +0.03 +0.41 +0.10 0.05 0.16 0.13 0.22 0.16 0.27 
