<pre>
Vars 	 	  CCtr  NNtr  CCt   NNt   CCv   NNv  +-CCtr  +-NNtr  +-CCt   +-NNt   +-CCv   +-NNv
DoY+D_{st}+\rho_{sw}   	- +0.20 +0.57 +0.46 +0.19 +0.43 +0.29 0.06 0.19 0.14 0.28 0.13 0.26 
DoY+MLT+F_{10.7}   	- +0.69 +0.77 +0.74 +0.55 +0.74 +0.64 0.04 0.11 0.13 0.25 0.12 0.27 
DoY+MLT+\rho_{sw}   	- +0.27 +0.64 +0.68 +0.03 +0.69 +0.32 0.08 0.23 0.18 0.43 0.20 0.42 
DoY+F_{10.7}+\rho_{sw}   	- +0.56 +0.68 +0.65 +0.45 +0.68 +0.53 0.04 0.19 0.11 0.26 0.13 0.21 
B_z+F_{10.7}+\rho_{sw}   	- +0.55 +0.67 +0.64 +0.40 +0.58 +0.46 0.04 0.12 0.15 0.22 0.15 0.20 
B_z+MLT+\rho_{sw}   	- +0.34 +0.51 +0.68 +0.05 +0.69 +0.31 0.07 0.28 0.19 0.47 0.17 0.47 
B_z+MLT+F_{10.7}   	- +0.66 +0.72 +0.73 +0.47 +0.73 +0.58 0.03 0.10 0.10 0.25 0.14 0.20 
B_z+D_{st}+\rho_{sw}   	- +0.20 +0.49 +0.48 +0.02 +0.48 +0.10 0.07 0.13 0.14 0.26 0.19 0.26 
B_z+D_{st}+F_{10.7}   	- +0.51 +0.60 +0.56 +0.34 +0.61 +0.49 0.04 0.11 0.13 0.23 0.12 0.16 
B_z+D_{st}+MLT   	- +0.37 +0.58 +0.51 +0.16 +0.55 +0.23 0.09 0.12 0.16 0.25 0.17 0.36 
B_z+V_{sw}+\rho_{sw}   	- +0.18 +0.47 +0.51 +0.13 +0.47 +0.24 0.08 0.17 0.15 0.22 0.15 0.26 
B_z+V_{sw}+F_{10.7}   	- +0.50 +0.56 +0.56 +0.36 +0.58 +0.44 0.04 0.09 0.14 0.18 0.14 0.16 
B_z+V_{sw}+MLT   	- +0.31 +0.59 +0.55 +0.23 +0.51 +0.22 0.08 0.19 0.18 0.29 0.15 0.28 
B_z+V_{sw}+D_{st}   	- +0.12 +0.35 +0.28 +0.08 +0.32 +0.12 0.04 0.13 0.12 0.23 0.14 0.22 
V_{sw}+F_{10.7}+\rho_{sw}   	- +0.54 +0.70 +0.62 +0.41 +0.62 +0.50 0.04 0.18 0.14 0.23 0.13 0.24 
V_{sw}+MLT+\rho_{sw}   	- +0.36 +0.72 +0.70 +0.16 +0.69 +0.44 0.09 0.21 0.22 0.41 0.17 0.30 
V_{sw}+MLT+F_{10.7}   	- +0.66 +0.72 +0.74 +0.43 +0.73 +0.56 0.03 0.17 0.11 0.26 0.11 0.25 
V_{sw}+D_{st}+\rho_{sw}   	- +0.16 +0.57 +0.47 +0.19 +0.51 +0.39 0.06 0.13 0.15 0.27 0.17 0.22 
V_{sw}+D_{st}+F_{10.7}   	- +0.51 +0.59 +0.54 +0.37 +0.58 +0.49 0.04 0.07 0.13 0.18 0.11 0.16 
V_{sw}+D_{st}+MLT   	- +0.34 +0.58 +0.53 +0.17 +0.53 +0.29 0.08 0.16 0.20 0.31 0.17 0.31 
D_{st}+MLT+F_{10.7}   	- +0.68 +0.76 +0.70 +0.51 +0.75 +0.63 0.04 0.14 0.11 0.17 0.13 0.18 
D_{st}+MLT+\rho_{sw}   	- +0.40 +0.50 +0.69 +0.04 +0.70 +0.19 0.09 0.28 0.17 0.39 0.17 0.46 
D_{st}+F_{10.7}+\rho_{sw}   	- +0.53 +0.67 +0.63 +0.41 +0.65 +0.52 0.04 0.18 0.12 0.24 0.14 0.26 
MLT+F_{10.7}+\rho_{sw}   	- +0.62 +0.69 +0.76 +0.41 +0.78 +0.60 0.05 0.19 0.16 0.28 0.13 0.33 
All	- +0.71 +0.81 +1.00 +0.40 +1.00 +0.60 0.04 0.19 0.00 0.31 0.00 0.22 
