<pre>
Vars 	 	  CCtr  NNtr  CCt   NNt   CCv   NNv  +-CCtr  +-NNtr  +-CCt   +-NNt   +-CCv   +-NNv
DoY      	- +0.05 +0.39 +0.21 +0.22 +0.22 +0.34 0.04 0.18 0.15 0.28 0.18 0.27 
B_z      	- +0.13 +0.38 +0.32 +0.09 +0.33 +0.18 0.09 0.16 0.18 0.29 0.20 0.27 
V_{sw}      	- +0.10 +0.34 +0.18 +0.12 +0.24 +0.22 0.06 0.16 0.14 0.27 0.14 0.25 
D_{st}      	- +0.06 +0.31 +0.25 +0.04 +0.19 +0.12 0.05 0.18 0.19 0.27 0.17 0.26 
MLT      	- +0.08 +0.29 +0.31 +0.01 +0.30 +0.16 0.04 0.22 0.22 0.36 0.20 0.36 
F_{10.7}      	- +0.31 +0.39 +0.29 +0.20 +0.36 +0.31 0.06 0.16 0.20 0.24 0.20 0.23 
\rho_{sw}      	- +0.11 +0.20 +0.32 +0.04 +0.32 +0.05 0.05 0.19 0.22 0.38 0.19 0.41 
DoY+B_z   	- +0.13 +0.44 +0.43 -0.10 +0.41 +0.15 0.08 0.17 0.17 0.26 0.20 0.27 
DoY+V_{sw}   	- +0.12 +0.43 +0.35 +0.03 +0.36 +0.23 0.05 0.12 0.17 0.29 0.15 0.30 
DoY+D_{st}   	- +0.10 +0.45 +0.39 +0.11 +0.36 +0.19 0.05 0.20 0.17 0.27 0.16 0.30 
DoY+MLT   	- +0.23 +0.34 +0.45 -0.10 +0.51 -0.00 0.08 0.27 0.25 0.36 0.22 0.41 
DoY+F_{10.7}   	- +0.33 +0.47 +0.42 +0.18 +0.48 +0.34 0.07 0.18 0.22 0.23 0.23 0.25 
DoY+\rho_{sw}   	- +0.25 +0.33 +0.54 +0.03 +0.56 +0.23 0.09 0.28 0.21 0.47 0.21 0.43 
B_z+V_{sw}   	- +0.15 +0.40 +0.44 +0.14 +0.39 +0.28 0.06 0.19 0.19 0.26 0.17 0.28 
B_z+D_{st}   	- +0.13 +0.43 +0.43 +0.12 +0.44 +0.20 0.07 0.17 0.17 0.29 0.19 0.32 
B_z+MLT   	- +0.17 +0.45 +0.59 +0.04 +0.54 +0.06 0.09 0.24 0.21 0.44 0.22 0.36 
B_z+F_{10.7}   	- +0.31 +0.51 +0.49 +0.22 +0.51 +0.35 0.06 0.17 0.18 0.24 0.21 0.22 
B_z+\rho_{sw}   	- +0.37 +0.60 +0.66 -0.01 +0.71 +0.34 0.13 0.39 0.25 0.48 0.21 0.55 
V_{sw}+D_{st}   	- +0.13 +0.37 +0.34 +0.14 +0.36 +0.21 0.05 0.14 0.14 0.27 0.16 0.25 
V_{sw}+MLT   	- +0.25 +0.41 +0.50 +0.03 +0.42 +0.07 0.06 0.17 0.19 0.38 0.22 0.33 
V_{sw}+F_{10.7}   	- +0.30 +0.53 +0.51 +0.28 +0.46 +0.40 0.06 0.12 0.21 0.27 0.23 0.25 
V_{sw}+\rho_{sw}   	- +0.42 +0.47 +0.64 +0.15 +0.58 +0.24 0.08 0.20 0.23 0.44 0.22 0.44 
D_{st}+MLT   	- +0.18 +0.43 +0.55 -0.19 +0.52 +0.08 0.09 0.30 0.21 0.40 0.22 0.43 
D_{st}+F_{10.7}   	- +0.30 +0.37 +0.43 +0.17 +0.47 +0.26 0.08 0.21 0.20 0.24 0.21 0.32 
D_{st}+\rho_{sw}   	- +0.19 +0.40 +0.61 -0.04 +0.51 +0.10 0.08 0.24 0.21 0.42 0.22 0.47 
MLT+F_{10.7}   	- +0.39 +0.48 +0.68 +0.31 +0.56 +0.32 0.08 0.23 0.27 0.35 0.23 0.36 
MLT+\rho_{sw}   	- +0.19 +0.50 +0.70 +0.07 +0.74 +0.38 0.09 0.33 0.26 0.42 0.25 0.54 
F_{10.7}+\rho_{sw}   	- +0.41 +0.43 +0.65 +0.16 +0.65 +0.26 0.09 0.26 0.23 0.47 0.27 0.45 
DoY+B_z+V_{sw}   	- +0.16 +0.45 +0.52 +0.07 +0.50 +0.14 0.07 0.16 0.17 0.22 0.15 0.32 
DoY+B_z+D_{st}   	- +0.14 +0.47 +0.49 -0.05 +0.49 +0.12 0.07 0.18 0.16 0.34 0.17 0.28 
DoY+B_z+MLT   	- +0.28 +0.51 +0.71 -0.03 +0.62 +0.09 0.09 0.25 0.19 0.39 0.23 0.38 
DoY+B_z+F_{10.7}   	- +0.32 +0.52 +0.59 +0.17 +0.59 +0.31 0.08 0.18 0.15 0.27 0.16 0.26 
DoY+B_z+\rho_{sw}   	- +0.45 +0.65 +0.83 +0.23 +0.78 +0.41 0.10 0.33 0.14 0.45 0.18 0.38 
DoY+V_{sw}+D_{st}   	- +0.15 +0.50 +0.49 +0.05 +0.47 +0.21 0.05 0.20 0.15 0.28 0.18 0.27 
DoY+V_{sw}+MLT   	- +0.28 +0.52 +0.62 +0.11 +0.64 +0.08 0.08 0.29 0.23 0.35 0.21 0.37 
DoY+V_{sw}+F_{10.7}   	- +0.35 +0.53 +0.52 +0.20 +0.48 +0.27 0.08 0.15 0.16 0.20 0.16 0.29 
DoY+V_{sw}+\rho_{sw}   	- +0.47 +0.56 +0.78 +0.24 +0.75 +0.27 0.06 0.26 0.16 0.43 0.18 0.40 
DoY+D_{st}+MLT   	- +0.28 +0.65 +0.69 +0.04 +0.68 +0.11 0.12 0.29 0.17 0.37 0.20 0.46 
DoY+D_{st}+F_{10.7}   	- +0.30 +0.51 +0.55 +0.16 +0.61 +0.29 0.08 0.14 0.23 0.28 0.17 0.32 
DoY+D_{st}+\rho_{sw}   	- +0.32 +0.60 +0.72 +0.14 +0.77 +0.32 0.10 0.32 0.19 0.44 0.20 0.44 
DoY+MLT+F_{10.7}   	- +0.49 +0.67 +0.74 +0.35 +0.76 +0.51 0.09 0.25 0.17 0.37 0.19 0.35 
