<pre>
Vars 	 	  CCtr  NNtr  CCt   NNt   CCv   NNv
doy      	- +0.13 +0.35 +0.31 +0.09 +0.28 +0.20 
Bz      	- +0.07 +0.28 +0.19 +0.05 +0.20 +0.14 
Vsw      	- +0.08 +0.33 +0.22 +0.14 +0.21 +0.14 
Dst      	- +0.09 +0.20 +0.18 -0.03 +0.18 +0.16 
MLT      	- +0.08 +0.32 +0.27 -0.01 +0.31 +0.18 
F107      	- +0.34 +0.43 +0.34 +0.25 +0.32 +0.33 
Rhosw      	- +0.05 +0.38 +0.15 +0.02 +0.16 +0.17 
doy+Bz   	- +0.15 +0.39 +0.35 +0.16 +0.36 +0.24 
doy+Vsw   	- +0.19 +0.50 +0.35 +0.16 +0.36 +0.26 
doy+Dst   	- +0.19 +0.39 +0.33 +0.07 +0.38 +0.20 
doy+MLT   	- +0.16 +0.45 +0.40 -0.03 +0.47 +0.03 
doy+F107   	- +0.36 +0.62 +0.42 +0.35 +0.42 +0.48 
doy+Rhosw   	- +0.12 +0.40 +0.37 -0.07 +0.34 +0.04 
Bz+Vsw   	- +0.11 +0.32 +0.31 +0.09 +0.35 +0.17 
Bz+Dst   	- +0.12 +0.30 +0.28 -0.03 +0.32 +0.14 
Bz+MLT   	- +0.13 +0.39 +0.41 +0.02 +0.44 +0.16 
Bz+F107   	- +0.35 +0.48 +0.43 +0.17 +0.38 +0.29 
Bz+Rhosw   	- +0.10 +0.29 +0.32 +0.02 +0.32 +0.07 
Vsw+Dst   	- +0.14 +0.31 +0.33 +0.09 +0.38 +0.18 
Vsw+MLT   	- +0.38 +0.55 +0.53 +0.19 +0.58 +0.25 
Vsw+F107   	- +0.34 +0.46 +0.40 +0.16 +0.44 +0.27 
Vsw+Rhosw   	- +0.13 +0.40 +0.31 +0.16 +0.32 +0.19 
Dst+MLT   	- +0.10 +0.42 +0.42 -0.07 +0.50 +0.15 
Dst+F107   	- +0.35 +0.44 +0.39 +0.14 +0.44 +0.22 
Dst+Rhosw   	- +0.12 +0.28 +0.34 -0.14 +0.30 +0.02 
MLT+F107   	- +0.32 +0.50 +0.48 +0.12 +0.46 +0.29 
MLT+Rhosw   	- +0.14 +0.42 +0.51 +0.13 +0.56 +0.27 
F107+Rhosw   	- +0.31 +0.48 +0.36 +0.14 +0.38 +0.25 
doy+Bz+Vsw   	- +0.22 +0.53 +0.41 +0.13 +0.42 +0.28 
doy+Bz+Dst   	- +0.21 +0.40 +0.43 +0.08 +0.48 +0.21 
doy+Bz+MLT   	- +0.19 +0.50 +0.54 -0.02 +0.58 +0.15 
